name,population
"Los Angeles County, California",10014009
"Cook County, Illinois",5275541
"Harris County, Texas",4731145
"Maricopa County, Arizona",4420568
"San Diego County, California",3298634
"Orange County, California",3186989
"Kings County, New York",2736074
"Miami-Dade County, Florida",2701767
"Dallas County, Texas",2613539
"Riverside County, California",2418185
"Queens County, New York",2405464
"King County, Washington",2269675
"Clark County, Nevada",2265461
"San Bernardino County, California",2181654
"Tarrant County, Texas",2110640
"Bexar County, Texas",2009324
"Broward County, Florida",1944375
"Santa Clara County, California",1936259
"Wayne County, Michigan",1793561
"New York County, New York",1694251
"Alameda County, California",1682353
"Middlesex County, Massachusetts",1632002
"Philadelphia County, Pennsylvania",1603797
"Sacramento County, California",1585055
"Suffolk County, New York",1525920
"Palm Beach County, Florida",1492191
"Bronx County, New York",1472654
"Hillsborough County, Florida",1459762
"Orange County, Florida",1429908
"Nassau County, New York",1395774
"Franklin County, Ohio",1323807
"Travis County, Texas",1290188
"Hennepin County, Minnesota",1281565
"Oakland County, Michigan",1274395
"Cuyahoga County, Ohio",1264817
"Allegheny County, Pennsylvania",1250578
"Salt Lake County, Utah",1185238
"Contra Costa County, California",1165927
"Fairfax County, Virginia",1150309
"Wake County, North Carolina",1129410
"Mecklenburg County, North Carolina",1115482
"Fulton County, Georgia",1066710
"Collin County, Texas",1064465
"Montgomery County, Maryland",1062061
"Pima County, Arizona",1043433
"Honolulu County, Hawaii",1016508
"Fresno County, California",1008654
"Westchester County, New York",1004457
"St. Louis County, Missouri",1004125
"Duval County, Florida",995567
"Marion County, Indiana",977203
"Prince George's County, Maryland",967201
"Pinellas County, Florida",959107
"Fairfield County, Connecticut",957419
"Gwinnett County, Georgia",957062
"Bergen County, New Jersey",955732
"Erie County, New York",954236
"Milwaukee County, Wisconsin",939489
"DuPage County, Illinois",932877
"Shelby County, Tennessee",929744
"Pierce County, Washington",921130
"Kern County, California",909235
"Denton County, Texas",906422
"Hartford County, Connecticut",899498
"Macomb County, Michigan",881217
"San Francisco County, California",873965
"Hidalgo County, Texas",870781
"El Paso County, Texas",865657
"New Haven County, Connecticut",864835
"Essex County, New Jersey",863728
"Middlesex County, New Jersey",863162
"Worcester County, Massachusetts",862111
"Montgomery County, Pennsylvania",856553
"Baltimore County, Maryland",854535
"Ventura County, California",843843
"Hamilton County, Ohio",830639
"Snohomish County, Washington",827957
"Fort Bend County, Texas",822779
"Multnomah County, Oregon",815428
"Essex County, Massachusetts",809829
"Suffolk County, Massachusetts",797936
"Oklahoma County, Oklahoma",796292
"Jefferson County, Kentucky",782969
"San Joaquin County, California",779233
"Cobb County, Georgia",766149
"San Mateo County, California",764442
"DeKalb County, Georgia",764382
